Store,Year,Month,Date,Day Part,Table Type,Net Sales,# Trans,Avg / Trans,# Guests,Avg / Guest,# Tables,Avg / Table,# Guest / Trans,# Guest / Table
,,,16,13:30 - 13:44,Cashier,73.86,13,5.68,13,5.68,13,5.68,1.0,1.0
,,,16,13:45 - 13:59,Cashier,45.44,7,6.49,7,6.49,7,6.49,1.0,1.0
,,,16,14:00 - 14:14,Cashier,84.23,14,6.02,14,6.02,14,6.02,1.0,1.0
,,,16,14:15 - 14:29,Cashier,82.72,16,5.17,16,5.17,16,5.17,1.0,1.0
,,,16,14:30 - 14:44,Cashier,75.67,14,5.41,14,5.41,14,5.41,1.0,1.0
,,,16,14:45 - 14:59,Cashier,42.48,7,6.07,7,6.07,7,6.07,1.0,1.0
,,,16,15:00 - 15:14,Cashier,36.84,7,5.26,7,5.26,7,5.26,1.0,1.0
,,,16,15:15 - 15:29,Cashier,56.27,7,8.04,7,8.04,7,8.04,1.0,1.0
,,,16,15:30 - 15:44,Cashier,57.97,10,5.8,10,5.8,10,5.8,1.0,1.0
,,,16,15:45 - 15:59,Cashier,40.24,8,5.03,7,5.75,8,5.03,0.88,0.88
,,,16,16:00 - 16:14,Cashier,37.18,7,5.31,7,5.31,7,5.31,1.0,1.0
,,,16,16:15 - 16:29,Cashier,73.02,12,6.08,12,6.08,12,6.08,1.0,1.0
,,,16,16:30 - 16:44,Cashier,4.95,1,4.95,1,4.95,1,4.95,1.0,1.0
,,,16,17:00 - 17:14,Cashier,4.95,1,4.95,1,4.95,1,4.95,1.0,1.0
,,,16,17:15 - 17:29,Cashier,19.64,3,6.55,3,6.55,3,6.55,1.0,1.0
,,,16,---,---,2083.9,349,5.97,348,5.99,349,5.97,1.0,1.0
,,,17,07:45 - 07:59,Cashier,8.34,2,4.17,2,4.17,2,4.17,1.0,1.0
,,,17,08:00 - 08:14,Cashier,31.04,5,6.21,5,6.21,5,6.21,1.0,1.0
,,,17,08:15 - 08:29,Cashier,19.98,4,5.0,4,5.0,4,5.0,1.0,1.0
,,,17,08:30 - 08:44,Cashier,22.31,4,5.58,4,5.58,4,5.58,1.0,1.0
,,,17,08:45 - 08:59,Cashier,10.94,2,5.47,2,5.47,2,5.47,1.0,1.0
,,,17,09:00 - 09:14,Cashier,43.86,7,6.27,7,6.27,7,6.27,1.0,1.0
,,,17,09:15 - 09:29,Cashier,40.7,8,5.09,8,5.09,8,5.09,1.0,1.0
,,,17,09:30 - 09:44,Cashier,14.9,2,7.45,2,7.45,2,7.45,1.0,1.0
,,,17,09:45 - 09:59,Cashier,60.29,9,6.7,9,6.7,9,6.7,1.0,1.0
,,,17,10:00 - 10:14,Cashier,56.69,9,6.3,9,6.3,9,6.3,1.0,1.0
,,,17,10:15 - 10:29,Cashier,76.5,12,6.38,12,6.38,12,6.38,1.0,1.0
,,,17,10:30 - 10:44,Cashier,75.33,12,6.28,12,6.28,12,6.28,1.0,1.0
,,,17,10:45 - 10:59,Cashier,44.33,5,8.87,5,8.87,5,8.87,1.0,1.0
,,,17,11:00 - 11:14,Cashier,23.63,4,5.91,4,5.91,4,5.91,1.0,1.0
,,,17,11:15 - 11:29,Cashier,127.94,17,7.53,17,7.53,17,7.53,1.0,1.0
,,,17,11:30 - 11:44,Cashier,75.34,11,6.85,11,6.85,11,6.85,1.0,1.0
,,,17,11:45 - 11:59,Cashier,42.03,6,7.0,6,7.0,6,7.0,1.0,1.0
,,,17,12:00 - 12:14,Cashier,30.99,7,4.43,7,4.43,7,4.43,1.0,1.0
,,,17,12:15 - 12:29,Cashier,70.77,10,7.08,10,7.08,10,7.08,1.0,1.0
,,,17,12:30 - 12:44,Cashier,78.14,11,7.1,11,7.1,11,7.1,1.0,1.0
,,,17,12:45 - 12:59,Cashier,37.28,8,4.66,8,4.66,8,4.66,1.0,1.0
,,,17,13:00 - 13:14,Cashier,60.52,10,6.05,10,6.05,10,6.05,1.0,1.0
,,,17,13:15 - 13:29,Cashier,62.28,12,5.19,12,5.19,12,5.19,1.0,1.0
,,,17,13:30 - 13:44,Cashier,36.03,7,5.15,7,5.15,7,5.15,1.0,1.0
,,,17,13:45 - 13:59,Cashier,97.18,16,6.07,16,6.07,16,6.07,1.0,1.0
,,,17,14:00 - 14:14,Cashier,77.72,13,5.98,13,5.98,13,5.98,1.0,1.0
,,,17,14:15 - 14:29,Cashier,116.64,21,5.55,21,5.55,21,5.55,1.0,1.0
,,,17,14:30 - 14:44,Cashier,52.34,11,4.76,11,4.76,11,4.76,1.0,1.0
,,,17,14:45 - 14:59,Cashier,24.35,4,6.09,4,6.09,4,6.09,1.0,1.0
,,,17,15:00 - 15:14,Cashier,36.29,6,6.05,6,6.05,6,6.05,1.0,1.0
,,,17,15:15 - 15:29,Cashier,73.44,11,6.68,11,6.68,11,6.68,1.0,1.0
,,,17,15:30 - 15:44,Cashier,48.77,10,4.88,10,4.88,10,4.88,1.0,1.0
,,,17,15:45 - 15:59,Cashier,37.54,7,5.36,7,5.36,7,5.36,1.0,1.0
,,,17,16:00 - 16:14,Cashier,32.69,8,4.09,8,4.09,8,4.09,1.0,1.0
,,,17,16:15 - 16:29,Cashier,40.75,7,5.82,7,5.82,7,5.82,1.0,1.0
,,,17,16:30 - 16:44,Cashier,44.98,8,5.62,8,5.62,8,5.62,1.0,1.0
,,,17,16:45 - 16:59,Cashier,17.24,3,5.75,3,5.75,3,5.75,1.0,1.0
,,,17,17:00 - 17:14,Cashier,4.95,1,4.95,1,4.95,1,4.95,1.0,1.0
,,,17,17:15 - 17:29,Cashier,8.5,2,4.25,2,4.25,2,4.25,1.0,1.0
,,,17,17:30 - 17:44,Cashier,4.95,1,4.95,1,4.95,1,4.95,1.0,1.0
,,,17,---,---,1868.49,313,5.97,313,5.97,313,5.97,1.0,1.0
,,,18,07:30 - 07:44,Cashier,4.35,1,4.35,1,4.35,1,4.35,1.0,1.0
,,,18,08:00 - 08:14,Cashier,10.9,2,5.45,2,5.45,2,5.45,1.0,1.0
,,,18,08:15 - 08:29,Cashier,6.85,2,3.42,2,3.42,2,3.42,1.0,1.0
,,,18,08:30 - 08:44,Cashier,21.09,4,5.27,4,5.27,4,5.27,1.0,1.0
,,,18,08:45 - 08:59,Cashier,13.23,3,4.41,3,4.41,3,4.41,1.0,1.0
,,,18,09:00 - 09:14,Cashier,5.94,1,5.94,1,5.94,1,5.94,1.0,1.0
,,,18,09:15 - 09:29,Cashier,39.85,5,7.97,5,7.97,5,7.97,1.0,1.0
,,,18,09:30 - 09:44,Cashier,24.86,3,8.29,3,8.29,3,8.29,1.0,1.0
,,,18,09:45 - 09:59,Cashier,24.04,4,6.01,4,6.01,4,6.01,1.0,1.0
,,,18,10:00 - 10:14,Cashier,19.39,4,4.85,4,4.85,4,4.85,1.0,1.0
,,,18,10:15 - 10:29,Cashier,70.98,10,7.1,10,7.1,10,7.1,1.0,1.0
,,,18,10:30 - 10:44,Cashier,105.98,16,6.62,16,6.62,16,6.62,1.0,1.0
,,,18,10:45 - 10:59,Cashier,115.45,13,8.88,13,8.88,13,8.88,1.0,1.0
,,,18,11:00 - 11:14,Cashier,71.12,11,6.47,11,6.47,11,6.47,1.0,1.0
,,,18,11:15 - 11:29,Cashier,79.18,10,7.92,10,7.92,10,7.92,1.0,1.0
,,,18,11:30 - 11:44,Cashier,30.28,5,6.06,5,6.06,5,6.06,1.0,1.0
,,,18,11:45 - 11:59,Cashier,47.65,9,5.29,9,5.29,9,5.29,1.0,1.0
,,,18,12:00 - 12:14,Cashier,76.46,9,8.5,9,8.5,9,8.5,1.0,1.0
,,,18,12:15 - 12:29,Cashier,32.84,3,10.95,3,10.95,3,10.95,1.0,1.0
,,,18,12:30 - 12:44,Cashier,43.83,5,8.77,5,8.77,5,8.77,1.0,1.0
,,,18,12:45 - 12:59,Cashier,60.91,10,6.09,10,6.09,10,6.09,1.0,1.0
,,,18,13:00 - 13:14,Cashier,39.37,6,6.56,6,6.56,6,6.56,1.0,1.0
,,,18,13:15 - 13:29,Cashier,37.04,5,7.41,5,7.41,5,7.41,1.0,1.0
,,,18,13:30 - 13:44,Cashier,68.37,10,6.84,10,6.84,10,6.84,1.0,1.0
,,,18,13:45 - 13:59,Cashier,27.03,4,6.76,4,6.76,4,6.76,1.0,1.0
,,,18,14:00 - 14:14,Cashier,39.83,7,5.69,7,5.69,7,5.69,1.0,1.0
,,,18,14:15 - 14:29,Cashier,34.93,3,11.64,3,11.64,3,11.64,1.0,1.0
,,,18,14:30 - 14:44,Cashier,59.1,9,6.57,9,6.57,9,6.57,1.0,1.0
,,,18,14:45 - 14:59,Cashier,43.57,6,7.26,6,7.26,6,7.26,1.0,1.0
,,,18,15:00 - 15:14,Cashier,15.65,2,7.83,2,7.83,2,7.83,1.0,1.0
,,,18,15:15 - 15:29,Cashier,47.24,3,15.75,3,15.75,3,15.75,1.0,1.0
,,,18,15:30 - 15:44,Cashier,14.95,2,7.47,2,7.47,2,7.47,1.0,1.0
,,,18,15:45 - 15:59,Cashier,37.35,5,7.47,5,7.47,5,7.47,1.0,1.0
,,,18,---,---,1369.61,192,7.13,192,7.13,192,7.13,1.0,1.0
,,,22,07:30 - 07:44,Cashier,16.9,2,8.45,2,8.45,2,8.45,1.0,1.0
,,,22,07:45 - 07:59,Cashier,15.69,2,7.84,2,7.84,2,7.84,1.0,1.0
,,,22,08:00 - 08:14,Cashier,42.19,7,6.03,7,6.03,7,6.03,1.0,1.0
,,,22,08:15 - 08:29,Cashier,31.25,5,6.25,5,6.25,5,6.25,1.0,1.0
,,,22,08:30 - 08:44,Cashier,23.26,4,5.82,4,5.82,4,5.82,1.0,1.0
,,,22,08:45 - 08:59,Cashier,23.99,4,6.0,4,6.0,4,6.0,1.0,1.0
,,,22,09:00 - 09:14,Cashier,29.73,6,4.96,6,4.96,6,4.96,1.0,1.0
,,,22,09:15 - 09:29,Cashier,80.36,12,6.7,12,6.7,12,6.7,1.0,1.0
,,,22,09:30 - 09:44,Cashier,16.3,3,5.43,3,5.43,3,5.43,1.0,1.0
,,,22,09:45 - 09:59,Cashier,10.94,2,5.47,2,5.47,2,5.47,1.0,1.0
,,,22,10:00 - 10:14,Cashier,26.53,5,5.31,5,5.31,5,5.31,1.0,1.0
,,,22,10:15 - 10:29,Cashier,42.17,10,4.22,10,4.22,10,4.22,1.0,1.0
,,,22,10:30 - 10:44,Cashier,83.85,13,6.45,13,6.45,13,6.45,1.0,1.0
,,,22,10:45 - 10:59,Cashier,111.51,14,7.96,14,7.96,14,7.96,1.0,1.0
,,,22,11:00 - 11:14,Cashier,42.73,9,4.75,9,4.75,9,4.75,1.0,1.0
,,,22,11:15 - 11:29,Cashier,71.82,12,5.99,12,5.99,12,5.99,1.0,1.0
,,,22,11:30 - 11:44,Cashier,93.11,12,7.76,12,7.76,12,7.76,1.0,1.0
,,,22,11:45 - 11:59,Cashier,48.74,8,6.09,8,6.09,8,6.09,1.0,1.0
,,,22,12:00 - 12:14,Cashier,18.88,4,4.72,4,4.72,4,4.72,1.0,1.0
,,,22,12:15 - 12:29,Cashier,44.67,7,6.38,7,6.38,7,6.38,1.0,1.0
,,,22,12:30 - 12:44,Cashier,100.3,14,7.16,14,7.16,14,7.16,1.0,1.0
,,,22,12:45 - 12:59,Cashier,55.68,8,6.96,8,6.96,8,6.96,1.0,1.0
,,,22,13:00 - 13:14,Cashier,56.41,8,7.05,8,7.05,8,7.05,1.0,1.0
,,,22,13:15 - 13:29,Cashier,41.45,11,3.77,11,3.77,11,3.77,1.0,1.0
,,,22,13:30 - 13:44,Cashier,69.42,13,5.34,13,5.34,13,5.34,1.0,1.0
,,,22,13:45 - 13:59,Cashier,48.36,12,4.03,12,4.03,12,4.03,1.0,1.0
,,,22,14:00 - 14:14,Cashier,68.17,14,4.87,14,4.87,14,4.87,1.0,1.0
,,,22,14:15 - 14:29,Cashier,49.7,10,4.97,10,4.97,10,4.97,1.0,1.0
,,,22,14:30 - 14:44,Cashier,65.99,12,5.5,12,5.5,12,5.5,1.0,1.0
,,,22,14:45 - 14:59,Cashier,42.43,7,6.06,7,6.06,7,6.06,1.0,1.0
,,,22,15:00 - 15:14,Cashier,39.45,8,4.93,8,4.93,8,4.93,1.0,1.0
,,,22,15:15 - 15:29,Cashier,43.65,8,5.46,8,5.46,8,5.46,1.0,1.0
,,,22,15:30 - 15:44,Cashier,33.48,6,5.58,6,5.58,6,5.58,1.0,1.0
,,,22,15:45 - 15:59,Cashier,13.14,4,3.29,4,3.29,4,3.29,1.0,1.0
,,,22,16:00 - 16:14,Cashier,30.9,5,6.18,5,6.18,5,6.18,1.0,1.0
,,,22,16:15 - 16:29,Cashier,40.59,7,5.8,7,5.8,7,5.8,1.0,1.0
,,,22,16:30 - 16:44,Cashier,35.12,7,5.02,7,5.02,7,5.02,1.0,1.0
,,,22,16:45 - 16:59,Cashier,11.39,2,5.7,2,5.7,2,5.7,1.0,1.0
,,,22,17:00 - 17:14,Cashier,4.45,1,4.45,1,4.45,1,4.45,1.0,1.0
,,,22,17:15 - 17:29,Cashier,4.45,1,4.45,1,4.45,1,4.45,1.0,1.0
,,,22,---,---,1729.15,299,5.78,299,5.78,299,5.78,1.0,1.0
,,,23,07:45 - 07:59,Cashier,8.04,1,8.04,1,8.04,1,8.04,1.0,1.0
,,,23,08:00 - 08:14,Cashier,29.64,4,7.41,4,7.41,4,7.41,1.0,1.0
,,,23,08:15 - 08:29,Cashier,49.71,8,6.21,8,6.21,8,6.21,1.0,1.0
,,,23,08:30 - 08:44,Cashier,17.74,3,5.91,3,5.91,3,5.91,1.0,1.0
,,,23,08:45 - 08:59,Cashier,32.75,5,6.55,5,6.55,5,6.55,1.0,1.0
,,,23,09:00 - 09:14,Cashier,42.85,6,7.14,6,7.14,6,7.14,1.0,1.0
,,,23,09:15 - 09:29,Cashier,70.61,12,5.88,12,5.88,12,5.88,1.0,1.0
,,,23,09:30 - 09:44,Cashier,76.22,10,7.62,10,7.62,10,7.62,1.0,1.0
,,,23,09:45 - 09:59,Cashier,38.12,5,7.62,5,7.62,5,7.62,1.0,1.0
,,,23,10:00 - 10:14,Cashier,25.88,5,5.18,5,5.18,5,5.18,1.0,1.0
,,,23,10:15 - 10:29,Cashier,80.0,12,6.67,12,6.67,12,6.67,1.0,1.0
,,,23,10:30 - 10:44,Cashier,117.14,17,6.89,17,6.89,17,6.89,1.0,1.0
,,,23,10:45 - 10:59,Cashier,16.9,4,4.22,4,4.22,4,4.22,1.0,1.0
,,,23,11:00 - 11:14,Cashier,47.6,8,5.95,8,5.95,8,5.95,1.0,1.0
,,,23,11:15 - 11:29,Cashier,107.0,14,7.64,14,7.64,14,7.64,1.0,1.0
,,,23,11:30 - 11:44,Cashier,130.15,17,7.66,17,7.66,17,7.66,1.0,1.0
,,,23,11:45 - 11:59,Cashier,23.94,4,5.99,4,5.99,4,5.99,1.0,1.0
,,,23,12:00 - 12:14,Cashier,28.74,6,4.79,6,4.79,6,4.79,1.0,1.0
,,,23,12:15 - 12:29,Cashier,72.82,10,7.28,10,7.28,10,7.28,1.0,1.0
,,,23,12:30 - 12:44,Cashier,86.48,13,6.65,13,6.65,13,6.65,1.0,1.0
,,,23,12:45 - 12:59,Cashier,45.57,10,4.56,10,4.56,10,4.56,1.0,1.0
,,,23,13:00 - 13:14,Cashier,71.08,8,8.88,8,8.88,8,8.88,1.0,1.0
,,,23,13:15 - 13:29,Cashier,77.07,13,5.93,13,5.93,13,5.93,1.0,1.0
,,,23,13:30 - 13:44,Cashier,94.21,13,7.25,13,7.25,13,7.25,1.0,1.0
,,,23,13:45 - 13:59,Cashier,15.34,3,5.11,3,5.11,3,5.11,1.0,1.0
,,,23,14:00 - 14:14,Cashier,17.83,4,4.46,4,4.46,4,4.46,1.0,1.0
,,,23,14:15 - 14:29,Cashier,69.0,12,5.75,12,5.75,12,5.75,1.0,1.0
,,,23,14:30 - 14:44,Cashier,99.81,18,5.54,18,5.54,18,5.54,1.0,1.0
,,,23,14:45 - 14:59,Cashier,33.69,6,5.62,6,5.62,6,5.62,1.0,1.0
,,,23,15:00 - 15:14,Cashier,36.08,9,4.01,9,4.01,9,4.01,1.0,1.0
,,,23,15:15 - 15:29,Cashier,17.89,3,5.96,3,5.96,3,5.96,1.0,1.0
,,,23,15:30 - 15:44,Cashier,33.17,8,4.15,8,4.15,8,4.15,1.0,1.0
,,,23,15:45 - 15:59,Cashier,20.64,4,5.16,4,5.16,4,5.16,1.0,1.0
,,,23,16:00 - 16:14,Cashier,24.28,5,4.86,5,4.86,5,4.86,1.0,1.0
,,,23,16:15 - 16:29,Cashier,35.1,7,5.01,7,5.01,7,5.01,1.0,1.0
,,,23,16:30 - 16:44,Cashier,10.7,2,5.35,2,5.35,2,5.35,1.0,1.0
,,,23,16:45 - 16:59,Cashier,31.93,5,6.39,5,6.39,5,6.39,1.0,1.0
,,,23,17:00 - 17:14,Cashier,11.2,2,5.6,2,5.6,2,5.6,1.0,1.0
,,,23,17:15 - 17:29,Cashier,15.87,3,5.29,3,5.29,3,5.29,1.0,1.0
,,,23,---,---,1862.79,299,6.23,299,6.23,299,6.23,1.0,1.0
,,,24,07:45 - 07:59,Cashier,10.44,2,5.22,2,5.22,2,5.22,1.0,1.0
,,,24,08:00 - 08:14,Cashier,21.95,3,7.32,3,7.32,3,7.32,1.0,1.0
,,,24,08:15 - 08:29,Cashier,41.92,5,8.38,5,8.38,5,8.38,1.0,1.0
,,,24,08:30 - 08:44,Cashier,69.52,9,7.72,9,7.72,9,7.72,1.0,1.0
,,,24,08:45 - 08:59,Cashier,18.35,5,3.67,5,3.67,5,3.67,1.0,1.0
,,,24,09:00 - 09:14,Cashier,66.89,10,6.69,10,6.69,10,6.69,1.0,1.0
,,,24,09:15 - 09:29,Cashier,44.34,9,4.93,9,4.93,9,4.93,1.0,1.0
,,,24,09:30 - 09:44,Cashier,62.95,10,6.29,10,6.29,10,6.29,1.0,1.0
,,,24,09:45 - 09:59,Cashier,66.09,11,6.01,11,6.01,11,6.01,1.0,1.0
,,,24,10:00 - 10:14,Cashier,28.55,6,4.76,6,4.76,6,4.76,1.0,1.0
,,,24,10:15 - 10:29,Cashier,114.87,18,6.38,18,6.38,18,6.38,1.0,1.0
,,,24,10:30 - 10:44,Cashier,47.55,11,4.32,11,4.32,11,4.32,1.0,1.0
,,,24,10:45 - 10:59,Cashier,21.09,5,4.22,5,4.22,5,4.22,1.0,1.0
,,,24,11:00 - 11:14,Cashier,62.92,9,6.99,9,6.99,9,6.99,1.0,1.0
,,,24,11:15 - 11:29,Cashier,76.4,12,6.37,12,6.37,12,6.37,1.0,1.0
,,,24,11:30 - 11:44,Cashier,78.0,15,5.2,15,5.2,15,5.2,1.0,1.0
,,,24,11:45 - 11:59,Cashier,40.32,7,5.76,7,5.76,7,5.76,1.0,1.0
,,,24,12:00 - 12:14,Cashier,38.78,7,5.54,7,5.54,7,5.54,1.0,1.0
,,,24,12:15 - 12:29,Cashier,44.71,7,6.39,7,6.39,7,6.39,1.0,1.0
,,,24,12:30 - 12:44,Cashier,84.29,17,4.96,17,4.96,17,4.96,1.0,1.0
,,,24,12:45 - 12:59,Cashier,65.53,12,5.46,12,5.46,12,5.46,1.0,1.0
,,,24,13:00 - 13:14,Cashier,49.54,11,4.5,11,4.5,11,4.5,1.0,1.0
,,,24,13:15 - 13:29,Cashier,93.18,13,7.17,13,7.17,13,7.17,1.0,1.0
,,,24,13:30 - 13:44,Cashier,63.31,10,6.33,10,6.33,10,6.33,1.0,1.0
,,,24,13:45 - 13:59,Cashier,28.63,6,4.77,6,4.77,6,4.77,1.0,1.0
,,,24,14:00 - 14:14,Cashier,51.12,7,7.3,7,7.3,7,7.3,1.0,1.0
,,,24,14:15 - 14:29,Cashier,58.78,10,5.88,10,5.88,10,5.88,1.0,1.0
,,,24,14:30 - 14:44,Cashier,42.42,8,5.3,8,5.3,8,5.3,1.0,1.0
,,,24,14:45 - 14:59,Cashier,29.79,5,5.96,5,5.96,5,5.96,1.0,1.0
,,,24,15:00 - 15:14,Cashier,42.13,5,8.43,5,8.43,5,8.43,1.0,1.0
,,,24,15:15 - 15:29,Cashier,32.49,8,4.06,8,4.06,8,4.06,1.0,1.0
,,,24,15:30 - 15:44,Cashier,18.53,4,4.63,4,4.63,4,4.63,1.0,1.0
,,,24,15:45 - 15:59,Cashier,50.45,9,5.61,9,5.61,9,5.61,1.0,1.0
,,,24,16:00 - 16:14,Cashier,16.94,4,4.24,4,4.24,4,4.24,1.0,1.0
,,,24,16:15 - 16:29,Cashier,22.74,4,5.68,4,5.68,4,5.68,1.0,1.0
,,,24,16:30 - 16:44,Cashier,28.2,6,4.7,6,4.7,6,4.7,1.0,1.0
,,,24,16:45 - 16:59,Cashier,20.92,5,4.18,5,4.18,5,4.18,1.0,1.0
,,,24,---,---,1754.63,305,5.75,305,5.75,305,5.75,1.0,1.0
,,,25,07:45 - 07:59,Cashier,20.19,2,10.1,2,10.1,2,10.1,1.0,1.0
,,,25,08:00 - 08:14,Cashier,16.34,3,5.45,3,5.45,3,5.45,1.0,1.0
,,,25,08:15 - 08:29,Cashier,36.38,5,7.28,5,7.28,5,7.28,1.0,1.0
,,,25,08:30 - 08:44,Cashier,67.84,11,6.17,11,6.17,11,6.17,1.0,1.0
,,,25,08:45 - 08:59,Cashier,30.07,7,4.3,7,4.3,7,4.3,1.0,1.0
,,,25,09:00 - 09:14,Cashier,15.94,3,5.31,3,5.31,3,5.31,1.0,1.0
,,,25,09:15 - 09:29,Cashier,27.77,6,4.63,6,4.63,6,4.63,1.0,1.0
,,,25,09:45 - 09:59,Cashier,7.69,2,3.85,2,3.85,2,3.85,1.0,1.0
,,,25,10:00 - 10:14,Cashier,23.57,5,4.71,5,4.71,5,4.71,1.0,1.0
,,,25,10:15 - 10:29,Cashier,68.77,12,5.73,12,5.73,12,5.73,1.0,1.0
,,,25,10:30 - 10:44,Cashier,108.67,17,6.39,17,6.39,17,6.39,1.0,1.0
,,,25,10:45 - 10:59,Cashier,52.37,9,5.82,8,6.55,9,5.82,0.89,0.89
,,,25,11:00 - 11:14,Cashier,28.03,5,5.61,5,5.61,5,5.61,1.0,1.0
